144871	112.5	62.5	12.5	6.5225815773	7.31
157954	117.5	100.0	82.5	5.5419168472	6.98
144873	130.0	80.0	30.0	3.7856657505	6.71
157955	142.5	125.0	107.5	2.6638470292	6.78
144876	150.0	100.0	50.0	2.1906288266	6.45
144874	155.0	80.0	5.0	1.9283733964	6.29
144877	175.0	100.0	25.0	1.2050648928	6.56
144879	175.0	125.0	75.0	1.2050648928	6.56
157956	192.5	175.0	157.5	0.8313543797	6.46
144880	200.0	125.0	50.0	0.7144479305	6.30
144883	225.0	175.0	125.0	0.4464730769	6.69
144881	250.0	125.0	0.0	0.2878956944	6.31
144884	250.0	175.0	100.0	0.2878956944	6.31
157957	267.5	250.0	232.5	0.2183825076	6.40
144885	300.0	175.0	50.0	0.1317261495	6.93
144888	300.0	250.0	200.0	0.1317261495	6.93
144889	325.0	250.0	175.0	0.0923074279	7.06
144886	350.0	175.0	0.0	0.0662338175	7.31
144890	375.0	250.0	125.0	0.0487108873	7.38
157958	392.5	375.0	357.5	0.0387432519	8.12
144891	425.0	250.0	75.0	0.0264804950	7.93
144894	425.0	375.0	325.0	0.0264804950	7.93
144895	450.0	375.0	300.0	0.0195214469	8.27
144892	500.0	250.0	0.0	0.0111498220	8.35
144896	500.0	375.0	250.0	0.0111498220	8.35
157959	517.5	500.0	482.5	0.0094607254	8.53
157461	550.0	375.0	200.0	0.0067326872	8.45
157960	550.0	500.0	450.0	0.0067326872	8.45
157961	575.0	500.0	425.0	0.0052224287	8.55
157464	625.0	375.0	125.0	0.0031206668	8.95
157962	625.0	500.0	375.0	0.0031206668	8.95
157965	642.5	625.0	607.5	0.0026441493	8.92
157963	675.0	500.0	325.0	0.0019713413	9.03
157966	675.0	625.0	575.0	0.0019713413	9.03
157967	700.0	625.0	550.0	0.0015923555	9.27
157467	750.0	375.0	0.0	0.0009658919	9.29
157964	750.0	500.0	250.0	0.0009658919	9.29
157968	750.0	625.0	500.0	0.0009658919	9.29
144902	112.5	62.5	12.5	3.2718927860	7.24
157969	117.5	100.0	82.5	2.7781445980	7.18
144904	130.0	80.0	30.0	1.8920923471	6.82
157970	142.5	125.0	107.5	1.3258839846	6.70
144907	150.0	100.0	50.0	1.0841178894	6.37
144905	155.0	80.0	5.0	0.9562610984	6.50
144908	175.0	100.0	25.0	0.5955330133	6.57
144910	175.0	125.0	75.0	0.5955330133	6.57
157971	192.5	175.0	157.5	0.4098809958	6.35
144911	200.0	125.0	50.0	0.3514513671	6.40
144914	225.0	175.0	125.0	0.2188667208	6.43
144912	250.0	125.0	0.0	0.1402591020	6.23
144915	250.0	175.0	100.0	0.1402591020	6.23
157972	267.5	250.0	232.5	0.1058609635	7.19
144916	300.0	175.0	50.0	0.0632844642	6.62
144919	300.0	250.0	200.0	0.0632844642	6.62
144920	325.0	250.0	175.0	0.0441656411	6.84
144917	350.0	175.0	0.0	0.0315974541	7.03
144921	375.0	250.0	125.0	0.0230061989	6.89
157973	392.5	375.0	357.5	0.0183213651	7.52
144922	425.0	250.0	75.0	0.0124846781	7.02
144925	425.0	375.0	325.0	0.0124846781	7.02
